Name,Status,Site,Cluster,Role,Tenant,VCPUs,Memory (MB),Disk (GB),IP Address,ID,Device,Tenant Group,Platform,IPv4 Address,IPv6 Address,Description,Comments,Config Template,Contacts,Tags,Created,Last updated,Interfaces
CHR1,Active,,elena-host,Router,,1.00,256,1,10.0.0.2/24,1,,,,10.0.0.2/24,,,,,,,2023-11-27 22:22,2023-11-27 22:45,1
CHR2,Active,,elena-host,Router,,1.00,256,1,10.0.0.3/24,2,,,,10.0.0.3/24,,,,,,,2023-11-27 22:23,2023-11-27 22:46,1
